regcode,provcode,citycode,regcode_9,provcode_9,citycode_9,cityname,geographic_level,old_names,cityclass,incomeclass,addedby,UserLevelID,dateupdated,status
3,3069,306914,3,369,36914,SAN MANUEL,Mun,,,4th,ims,0,,A
3,3069,306915,3,369,36915,SANTA IGNACIA,Mun,,,2nd,ims,0,,A
3,3069,306916,3,369,36916,CITY OF TARLAC (CAPITAL),City,,CC,1st,ims,0,,A
3,3069,306917,3,369,36917,VICTORIA,Mun,,,2nd,ims,0,,A
3,3069,306918,3,369,36918,SAN JOSE,Mun,,,3rd,ims,0,,A
3,3071,307101,3,371,37101,BOTOLAN,Mun,,,1st,ims,0,,A
3,3071,307102,3,371,37102,CABANGAN,Mun,,,4th,ims,0,,A
3,3071,307103,3,371,37103,CANDELARIA,Mun,,,3rd,ims,0,,A
3,3071,307104,3,371,37104,CASTILLEJOS,Mun,,,3rd,ims,0,,A
3,3071,307105,3,371,37105,IBA (CAPITAL),Mun,,,2nd,ims,0,,A
3,3071,307106,3,371,37106,MASINLOC,Mun,,,1st,ims,0,,A
